Title,Authors,Pages,Year Published,Thumbnail
2001: a Space Odyssey,Arthur C Clarke,296,1968,"https://images-na.ssl-images-amazon.com/images/I/51pHccoWLdL._SX308_BO1,204,203,200_.jpg"
The Time Machine,H. G. Wells,111,1895,"https://images-na.ssl-images-amazon.com/images/I/51GW1Ik2%2BEL._SX326_BO1,204,203,200_.jpg"
"I, Robot",Isaac Asimov,256,1950,"https://images-na.ssl-images-amazon.com/images/I/51sPGx0AuEL._SX331_BO1,204,203,200_.jpg"
Foundation,Isaac Asimov,255,1951,https://upload.wikimedia.org/wikipedia/en/2/25/Foundation_gnome.jpg
Foundation and Empire,Isaac Asimov,257,1952,https://upload.wikimedia.org/wikipedia/en/c/c2/Foundation_and_empire.jpg
The Fellowship of the Ring,J.R.R. Tolkein,423,1954,https://upload.wikimedia.org/wikipedia/en/8/8e/The_Fellowship_of_the_Ring_cover.gif
The Two Towers,J.R.R. Tolkein,352,1954,https://upload.wikimedia.org/wikipedia/en/a/a1/The_Two_Towers_cover.gif
The Return of the King,J.R.R. Tolkein,416,1955,https://upload.wikimedia.org/wikipedia/en/1/11/The_Return_of_the_King_cover.gif
Ringworld,Larry Niven,430,1970,https://d2svrcwl6l7hz1.cloudfront.net/content/B00CNTUVLO/resources/0?mime=image/*
The Goliath Stone,Larry Niven,320,2013,https://images-na.ssl-images-amazon.com/images/I/51l%2BUTphB1L.jpg
Inferno,"Larry Niven,Jerry Pournelle",237,1976,https://upload.wikimedia.org/wikipedia/en/8/86/InfernoNovel.jpg
The Man in the High Castle,Philip K Dick,288,1962,"https://images-na.ssl-images-amazon.com/images/I/41EONpW2m9L._SX330_BO1,204,203,200_.jpg"
Ubik,Philip K Dick,240,1969,"https://images-na.ssl-images-amazon.com/images/I/51Sqc9mvLbL._SX326_BO1,204,203,200_.jpg"
The Ganymede Takeover,"Philip K Dick,Ray Nelson",157,1967,https://upload.wikimedia.org/wikipedia/en/b/b4/TheGanymedeTakeover%281stEd%29.jpg
